name,description,keywords,path
agent-configuration,"Define and manage agent files (YAML frontmatter + prompt) with models, tools, and scope priorities.",,skills/agent-configuration/SKILL.md
agent-orchestration,Multi-agent coordination and lifecycle management based on the Kode-CLI framework.,,skills/agent-orchestration/SKILL.md
agents-overview,"Describe agent manifests, orchestration patterns, and delegation conventions used by the repo.",,skills/agents-overview/SKILL.md
ai-asset-cataloger,"Use the system-wide AI asset inventory to locate instructions, datasets, tools, and regenerate scans when assets change.",,skills/ai-asset-cataloger/SKILL.md
ai-logic,Patterns and helpers for implementing prompt/response pipelines and reusable LLM utilities.,,skills/ai-logic/SKILL.md
ai-pdf-reader,Convert PDFs to text/markdown and extract structured knowledge for agents and docs.,,skills/ai-pdf-reader/SKILL.md
architect,,,skills/generated-agents/architect/SKILL.md
bug-hunter,,,skills/generated-agents/bug-hunter/SKILL.md
bug-hunter-pro,"Drive the bug-hunting loop: reproduce, log, classify, and guide fixes with user collaboration.",,skills/bug-hunter-pro/SKILL.md
bug-report-analyzer,High-fidelity review of incoming bug reports to extract reproduction steps and root causes.,bug-report;triage;reproduction;quality-assurance;root-cause,skills/bug-report-analyzer/SKILL.md
build-triage-master,"Expert triage for build failures, specifically optimized for VS Code and CI environments.",build-failure;ci-cd;triage;compiler-error;logs,skills/build-triage-master/SKILL.md
change-notification,Automated and manual protocols for communicating significant code/config changes to stakeholders.,notify;slack;alerts;code-change;update,skills/change-notification/SKILL.md
chrome-screen-ai,Validate and package Chrome Screen AI release assets for on-device main-content extraction and OCR features.,,skills/chrome-screen-ai/SKILL.md
claude-code,Understand and operate Claude Code plugin and action artifacts in the repository.,,skills/claude-code/SKILL.md
claude-code-action,"Configure and operate the Claude Code GitHub Action to answer mentions, review pull requests, and run automation prompts across repositories.",,skills/claude-code-action/SKILL.md
claude-code-base-action,"Run Claude Code inside GitHub workflows with direct prompts, custom tool policies, and MCP settings using the base action mirror.",,skills/claude-code-base-action/SKILL.md
claude-code-plugins,"Enable and operate the official Claude Code plugin collection to extend terminal workflows with curated commands, agents, and hooks.",,skills/claude-code-plugins/SKILL.md
code-linting,Apply GPT Engineer's pluggable linting registry to normalize generated source files.,,skills/code-linting/SKILL.md
code-monkey,,,skills/generated-agents/code-monkey/SKILL.md
code-monkey,"Apply task instructions to files, leverage relace when possible, and capture file metadata for downstream agents.",,skills/code-monkey/SKILL.md
codex-tool-catalog,"Maintain the Codex_Tools registry, sync new helpers, and validate that the catalog and category folders stay aligned.",,skills/codex-tool-catalog/SKILL.md
coding-tools,Catalog and use developer helper scripts and local CLIs found in the repo.,,skills/coding-tools/SKILL.md
command-executor,"Confirm, run, and analyze shell commands with logged outputs and task step completion.",,skills/command-executor/SKILL.md
component-architecture,"Design and implementation of reusable, isolated, and highly-testable system components.",react;components;modular;interface;props,skills/component-architecture/SKILL.md
data-engineering,"Architecting reliable data structures, ETL pipelines, and high-performance indexing strategies.",database;schema;etl;partition;indexing,skills/data-engineering/SKILL.md
deep-planning,Multi-stage planning with mandatory stakeholder clarification for complex projects.,ambiguous;complex-architecture;multi-step;clarify;plan,skills/deep-planning/SKILL.md
developer,,,skills/generated-agents/developer/SKILL.md
diff-validator,Validate and repair GPT Engineer diff hunks before applying them to source trees.,,skills/diff-validator/SKILL.md
disk-execution-env,Upload generated files to a disk-backed working tree and execute commands with live stdout/stderr streaming.,,skills/disk-execution-env/SKILL.md
documentation-update,Ensures technical instructions and system documentation remain in sync with evolving codebases.,documentation;instructions;README;sync;technical-debt,skills/documentation-update/SKILL.md
environment-setup,"Systematic initialization of project environments, dependencies, and configurations.",init;bootstrap;environment;config;dependencies,skills/environment-setup/SKILL.md
error-handler,,,skills/generated-agents/error-handler/SKILL.md
error-handler,"Recover from agent failures, especially command errors, by debugging and queueing follow-up iterations.",,skills/error-handler/SKILL.md
executor,,,skills/generated-agents/executor/SKILL.md
external-docs,,,skills/generated-agents/external-docs/SKILL.md
external-docs,Select helpful docsets and fetch snippets from the external documentation API for the current task.,,skills/external-docs/SKILL.md
fast-planning,Rapid sprint planning focusing on immediate deliverables and minimal viable logic.,quick;sprint;hotfix;rapid-prototype;minimal,skills/fast-planning/SKILL.md
files-dict-manager,"Normalize GPT Engineer file bundles, enforce typing, and render chat-friendly snippets.",,skills/files-dict-manager/SKILL.md
